robot_count,task_complexity,communication_delay,swarm_density,obstacle_density,battery_level,signal_strength,formation_type,terrain_roughness,task_deadline,robot_speed,sensor_range,collision_probability,energy_efficiency,coordination_overhead,mission_success
45,3.0,20.2,3.12,12.6,70.2,-45.1,Wedge,9.4,160.7,1.59,49.2,0.328,0.5,27.1,0
26,4.2,100.6,3.21,19.6,48.3,-39.8,Line,1.2,194.6,3.71,49.6,0.073,0.72,21.9,1
50,4.4,89.3,2.75,15.1,98.9,-83.1,Wedge,6.2,270.6,3.19,40.2,0.034,1.26,36.1,1
28,1.6,168.9,4.64,21.8,23.8,-117.6,Grid,6.4,91.2,4.66,24.2,0.235,1.1,31.9,1
43,4.3,209.2,4.67,14.4,52.8,-57.5,Wedge,8.1,240.3,2.8,27.8,0.3,1.04,6.1,1
29,5.2,254.3,2.61,8.6,68.2,-49.4,Grid,9.6,241.9,1.76,16.7,0.479,0.78,24.4,0
17,7.5,238.4,1.6,10.9,15.0,-118.4,Circle,4.2,47.1,2.23,41.7,0.349,0.58,26.1,0
16,6.9,135.3,2.35,25.8,74.5,-66.4,Wedge,4.9,15.0,1.48,37.6,0.296,1.28,34.5,0
48,7.4,14.6,1.01,14.0,19.0,-67.0,Circle,7.0,178.6,1.49,38.8,0.107,0.54,25.6,1
45,1.1,302.6,3.22,6.4,22.6,-85.9,Random,9.7,238.9,2.62,7.8,0.076,0.56,5.6,1
4,3.0,197.9,2.55,28.0,24.4,-52.5,Wedge,9.0,170.8,4.52,20.5,0.304,0.79,10.3,0
38,7.0,149.3,0.61,23.9,93.6,-81.5,Circle,7.0,245.9,1.36,27.3,0.111,1.07,25.5,1
8,5.4,433.5,1.07,1.7,71.5,-59.1,Random,8.7,190.5,1.8,7.1,0.353,1.49,36.5,0
22,1.0,373.4,2.45,30.0,69.0,-73.5,Grid,1.8,199.5,4.34,19.1,0.057,0.59,35.7,0
10,8.2,428.9,4.45,20.8,60.0,-97.6,Grid,4.4,18.2,2.03,5.3,0.17,0.97,14.4,0
40,8.0,247.5,2.88,4.8,36.4,-65.4,Grid,1.1,35.7,4.83,48.0,0.387,1.1,33.2,1
19,5.9,65.5,3.44,7.1,65.9,-53.7,Grid,2.6,220.3,1.71,37.8,0.416,1.32,20.5,1
5,1.6,348.1,1.76,20.8,46.9,-32.3,Grid,6.7,231.2,2.49,31.4,0.173,1.19,18.6,0
26,7.9,103.0,2.9,23.4,23.1,-85.8,Line,9.0,167.2,0.93,11.0,0.103,1.31,14.0,0
15,6.3,220.6,2.29,7.2,72.1,-114.2,Circle,6.7,181.1,4.96,17.4,0.479,1.02,27.1,1
10,8.0,32.5,3.33,7.7,21.7,-31.1,Random,7.0,188.2,4.51,8.1,0.381,0.93,24.0,0
27,7.8,412.7,0.35,9.2,27.2,-63.9,Random,1.9,40.4,4.18,27.3,0.404,1.12,15.0,0
3,8.2,63.0,2.52,17.9,83.6,-34.8,Wedge,7.0,203.7,1.21,41.2,0.111,1.4,30.5,0
21,5.7,451.5,1.55,5.2,69.4,-110.7,Circle,5.1,148.8,4.86,1.9,0.212,1.05,15.2,0
29,2.3,432.1,1.7,3.1,66.8,-89.2,Line,6.9,184.7,4.68,6.1,0.034,1.11,23.4,0
48,7.0,232.3,4.81,20.4,47.6,-107.9,Line,3.9,173.3,2.46,12.2,0.055,0.84,15.7,1
8,6.6,372.2,1.0,23.4,45.7,-44.8,Circle,6.2,231.3,3.57,36.0,0.11,1.1,4.7,0
45,7.7,309.7,1.63,15.0,72.1,-40.8,Grid,4.8,102.4,4.97,44.8,0.152,1.13,6.4,1
9,2.5,401.5,2.6,10.9,76.6,-74.9,Grid,6.0,118.3,2.34,37.9,0.499,1.25,26.3,0
48,2.8,215.9,4.33,13.0,55.9,-103.2,Circle,2.3,123.6,1.01,26.7,0.211,1.07,32.4,1
36,9.0,392.9,2.14,11.7,97.2,-108.6,Random,4.6,231.1,4.41,6.2,0.349,0.7,18.7,1
15,7.7,231.2,3.74,28.8,96.0,-67.1,Grid,4.4,135.0,2.64,38.0,0.452,1.08,13.0,1
18,9.2,470.5,4.3,23.0,47.1,-74.4,Wedge,7.6,61.4,4.94,6.2,0.123,0.8,13.5,0
37,7.8,243.2,1.62,6.2,83.9,-57.5,Line,7.4,295.1,2.98,18.0,0.072,0.59,23.9,1
41,6.4,231.3,2.02,11.5,58.9,-92.5,Grid,9.2,153.1,0.63,16.1,0.122,1.33,18.7,1
5,6.9,392.5,1.85,16.3,56.1,-83.8,Random,6.7,41.7,2.71,18.6,0.441,0.57,0.0,0
3,9.0,410.8,4.18,18.4,14.9,-118.1,Grid,3.8,204.4,3.73,17.1,0.333,1.13,30.9,0
7,6.2,277.2,0.32,14.0,61.7,-65.1,Grid,8.0,224.4,0.62,38.7,0.226,1.49,5.7,0
43,6.7,89.9,1.61,24.3,91.1,-81.9,Line,5.5,155.1,2.36,9.4,0.41,0.59,27.0,0
5,2.4,233.9,3.43,23.0,80.2,-37.2,Wedge,2.7,197.5,1.2,42.4,0.118,0.72,13.8,0
30,5.3,484.0,2.87,15.2,80.8,-62.2,Wedge,7.7,60.1,3.39,43.1,0.12,1.26,23.1,0
19,7.4,376.5,2.24,25.6,24.4,-84.1,Random,2.2,116.7,4.81,25.1,0.284,0.6,34.2,0
27,3.4,405.6,2.75,22.5,42.3,-96.3,Circle,2.6,56.9,3.31,6.2,0.395,1.33,6.2,0
45,2.8,16.4,1.07,23.4,31.0,-38.5,Circle,7.8,122.3,3.63,29.2,0.13,0.5,31.1,0
35,3.8,233.9,2.21,28.7,38.4,-118.5,Circle,7.9,173.2,2.28,41.2,0.105,1.39,1.5,1
11,3.2,323.3,2.56,8.0,62.2,-90.6,Random,8.1,138.3,3.03,15.2,0.237,0.57,36.9,0
37,2.9,415.0,4.52,8.0,42.8,-35.1,Grid,3.6,182.0,2.95,42.0,0.067,1.42,8.1,1
15,4.8,24.6,1.38,26.7,60.5,-61.1,Wedge,8.8,155.5,3.92,34.2,0.374,1.36,31.8,0
32,9.2,426.2,4.35,23.2,49.5,-72.1,Wedge,7.5,102.2,4.36,49.4,0.289,1.04,2.7,1
49,5.6,274.2,3.26,27.8,35.8,-101.7,Grid,8.5,51.6,3.48,41.4,0.256,1.28,13.1,1
16,2.7,98.7,0.2,1.9,18.6,-45.0,Wedge,7.4,83.3,4.91,10.9,0.436,0.57,25.3,0
9,1.7,158.6,3.65,18.8,90.3,-101.6,Wedge,6.2,68.2,4.23,23.0,0.366,0.64,26.4,0
15,7.3,141.0,0.27,4.3,11.0,-97.7,Circle,2.0,215.2,1.06,6.1,0.075,0.87,28.0,0
24,4.4,265.4,4.99,15.1,10.1,-102.7,Circle,7.4,247.8,2.78,4.4,0.21,1.04,14.0,0
41,8.4,25.8,4.38,4.7,84.4,-105.8,Line,7.2,218.9,4.56,35.6,0.161,1.37,26.6,1
22,6.9,79.3,1.56,3.8,99.7,-34.2,Line,3.8,196.7,4.75,45.7,0.401,1.04,17.1,1
17,8.2,406.3,1.36,0.4,75.4,-65.8,Wedge,7.6,99.3,2.21,48.7,0.36,1.17,22.6,0
46,3.4,66.3,1.97,18.9,11.4,-62.6,Circle,6.0,216.2,3.77,14.3,0.236,1.18,21.9,0
19,7.2,116.7,1.85,10.8,30.4,-34.1,Line,6.0,185.5,2.35,10.9,0.412,1.38,6.7,0
48,3.4,226.7,1.92,3.2,97.5,-99.2,Line,4.3,23.6,1.06,28.5,0.205,1.28,33.9,1
25,9.5,258.6,1.66,9.7,82.8,-119.5,Circle,2.1,273.2,4.48,10.8,0.402,1.48,34.7,1
27,6.7,381.8,3.14,5.1,61.0,-66.1,Line,3.0,33.2,4.69,15.5,0.016,0.52,8.1,1
26,3.9,223.7,0.9,28.3,31.3,-74.3,Grid,7.9,155.8,2.77,42.0,0.067,0.71,16.7,0
46,3.4,394.9,4.25,9.6,11.3,-77.0,Grid,3.4,158.8,0.58,40.7,0.378,1.43,18.6,0
42,2.7,309.2,4.08,10.0,11.9,-114.4,Circle,1.0,252.7,4.17,44.9,0.057,1.29,22.0,1
30,7.3,56.5,2.43,25.2,65.1,-79.1,Circle,10.0,274.8,2.65,24.6,0.342,0.77,0.9,1
16,3.0,78.2,4.28,19.4,12.0,-94.1,Line,2.9,282.5,0.84,28.6,0.362,1.47,30.4,0
46,6.4,218.5,1.31,21.3,99.4,-95.3,Wedge,6.9,175.2,1.35,38.8,0.331,1.37,34.5,1
2,3.4,198.4,0.19,19.1,26.5,-100.0,Random,9.3,206.9,1.18,12.7,0.409,0.56,5.7,0
26,7.0,371.8,3.13,28.4,74.0,-90.1,Grid,6.4,35.7,3.59,41.3,0.256,1.31,35.9,0
8,8.3,290.4,2.34,6.2,24.0,-88.2,Grid,8.2,151.5,1.85,1.9,0.449,1.28,34.0,0
10,8.0,194.1,2.88,29.7,58.6,-92.2,Circle,9.8,270.4,1.07,40.1,0.285,0.72,21.7,0
25,7.8,85.4,4.51,24.9,17.3,-31.9,Wedge,8.7,142.2,4.63,39.0,0.254,1.17,11.0,1
2,2.7,113.4,4.85,17.7,79.0,-36.1,Circle,6.0,30.2,4.8,15.8,0.255,1.47,8.3,0
45,1.8,287.8,3.21,19.9,62.6,-68.3,Line,4.3,68.2,1.12,36.7,0.456,1.18,19.6,0
9,7.3,211.7,3.84,19.5,17.8,-31.7,Wedge,5.3,134.6,1.54,11.5,0.122,1.31,20.3,0
25,4.3,257.5,0.51,1.8,86.4,-30.8,Line,8.6,78.9,3.16,29.2,0.348,0.6,26.1,0
12,4.9,85.3,0.89,6.5,59.2,-88.0,Grid,8.7,123.8,1.18,35.3,0.121,1.23,32.1,1
18,1.3,331.5,3.69,28.8,92.9,-79.9,Circle,8.6,106.6,1.21,36.0,0.046,0.7,37.4,0
9,3.3,426.3,2.21,16.0,92.5,-33.7,Circle,6.4,102.5,2.01,49.2,0.477,0.57,31.9,0
36,1.3,129.0,2.29,11.4,92.8,-65.2,Random,5.3,36.4,4.77,9.9,0.065,1.05,36.4,1
36,8.9,245.8,1.61,22.9,17.0,-100.8,Wedge,3.8,266.0,4.83,24.6,0.343,1.25,20.0,1
34,3.2,487.8,3.08,15.7,20.9,-58.0,Grid,1.0,210.9,4.29,44.1,0.212,1.05,1.6,1
6,6.0,166.6,1.01,0.4,98.9,-101.5,Random,7.9,190.8,3.63,28.5,0.419,1.43,2.1,1
43,1.4,297.5,3.17,22.1,53.9,-89.5,Random,3.5,185.9,3.74,43.9,0.387,1.2,10.7,1
40,7.0,45.1,0.95,22.0,31.4,-99.5,Circle,4.0,125.0,2.61,22.3,0.072,0.62,24.6,1
42,3.9,303.0,0.41,5.0,79.3,-98.0,Wedge,8.6,248.8,2.89,40.0,0.234,1.43,13.4,1
29,9.1,44.8,1.72,28.7,33.8,-119.6,Circle,1.5,279.7,3.36,43.6,0.014,0.65,6.6,1
8,9.0,479.6,1.23,6.7,75.4,-40.7,Wedge,9.3,11.6,3.79,42.5,0.215,1.26,34.0,0
10,3.9,357.8,4.46,13.7,85.4,-93.4,Random,1.0,33.0,0.94,43.7,0.35,0.65,39.4,0
9,9.1,394.1,0.37,3.4,80.6,-112.2,Line,9.5,205.7,1.51,11.8,0.116,1.5,0.7,1
13,10.0,352.1,0.97,18.1,34.7,-112.2,Grid,5.1,78.5,4.83,22.5,0.405,0.83,3.6,0
35,8.4,294.9,2.79,11.3,46.1,-70.0,Random,1.9,274.4,2.01,9.6,0.027,1.0,20.0,1
34,8.6,225.0,2.46,10.6,47.2,-30.6,Circle,7.1,203.5,1.71,9.8,0.017,0.97,13.5,1
49,3.2,429.2,0.32,24.8,54.2,-106.9,Grid,9.1,116.8,2.4,24.9,0.014,0.6,31.3,0
24,6.2,478.4,0.14,0.3,25.1,-111.0,Random,4.9,130.4,1.81,48.0,0.14,0.99,26.2,0
25,1.6,249.5,4.94,23.9,50.7,-80.6,Wedge,7.2,210.4,0.91,30.0,0.234,0.65,2.7,0
38,1.9,465.8,3.33,17.1,56.0,-69.3,Circle,9.8,50.9,1.44,42.8,0.054,1.3,21.8,0
36,10.0,291.7,1.89,29.6,57.9,-93.5,Random,3.2,266.2,3.38,46.9,0.498,1.46,13.5,1
45,3.9,269.2,2.41,17.7,83.8,-92.8,Wedge,8.4,11.4,1.5,5.2,0.5,1.31,38.6,0
41,7.7,227.2,1.41,1.7,56.6,-81.8,Wedge,3.7,293.9,3.41,8.9,0.26,0.93,19.0,1
23,8.3,104.6,1.79,1.5,30.8,-91.7,Wedge,4.8,58.6,0.95,15.3,0.284,0.5,37.1,0
28,8.7,1.9,3.28,26.5,69.7,-37.6,Grid,3.5,225.2,0.69,31.2,0.463,0.54,1.2,1
36,10.0,120.8,4.43,25.2,81.8,-116.2,Circle,5.0,21.6,4.38,4.0,0.385,1.0,4.1,1
2,3.2,254.9,1.0,10.4,38.7,-98.9,Wedge,1.0,135.1,3.92,39.5,0.084,1.18,15.5,1
36,1.4,190.0,4.22,18.5,68.1,-47.2,Random,3.7,192.8,3.5,4.1,0.396,1.32,35.5,0
38,4.7,224.2,0.7,14.7,23.2,-44.9,Wedge,5.0,30.4,0.64,8.8,0.115,1.1,21.8,0
48,2.2,490.3,1.15,29.0,40.8,-110.0,Circle,6.7,138.6,1.58,19.7,0.215,1.48,33.0,0
15,1.2,175.1,0.28,28.5,91.8,-32.4,Grid,6.7,97.9,4.16,28.3,0.266,0.99,11.3,0
4,4.2,226.1,0.79,29.5,92.0,-57.6,Wedge,6.3,154.5,1.15,44.2,0.358,1.1,4.5,0
2,8.1,66.8,4.59,26.0,61.8,-95.5,Random,3.6,156.3,4.16,48.2,0.075,0.73,9.8,1
6,6.1,24.0,2.35,27.3,73.2,-79.0,Circle,9.5,237.7,3.13,44.3,0.038,0.84,25.8,1
27,3.8,387.7,0.48,6.5,86.9,-93.3,Wedge,4.5,45.8,3.83,6.2,0.433,1.18,34.9,0
15,6.9,285.3,4.8,24.9,96.3,-106.5,Grid,3.0,34.0,3.4,31.9,0.413,1.1,18.2,1
40,3.1,380.4,4.41,21.3,54.1,-93.8,Line,6.0,126.5,2.38,22.6,0.262,0.87,7.7,0
28,1.1,74.9,3.8,28.9,60.5,-67.8,Random,7.7,267.4,1.81,7.2,0.331,0.61,25.5,0
10,7.9,285.9,4.67,17.1,47.4,-45.7,Wedge,1.1,258.0,3.53,28.2,0.36,0.84,7.9,1
16,6.6,126.8,1.18,2.6,16.5,-87.3,Wedge,3.5,172.4,4.13,18.5,0.238,0.54,22.8,0
16,7.9,114.0,4.2,17.9,48.1,-88.7,Line,8.4,267.7,0.7,17.9,0.129,1.08,4.1,1
27,1.4,5.8,3.48,20.6,81.2,-77.9,Circle,5.6,243.5,2.21,5.6,0.241,0.82,32.4,0
43,8.5,65.2,4.36,6.6,82.4,-62.0,Line,4.7,90.6,2.08,49.0,0.475,0.88,32.2,1
14,6.6,154.6,4.0,11.8,90.3,-52.4,Circle,9.4,59.3,3.02,36.6,0.419,1.08,21.7,0
33,6.1,58.4,1.8,18.0,14.6,-90.6,Wedge,1.8,97.3,1.01,14.7,0.233,1.08,1.5,1
40,6.6,492.9,3.89,11.2,57.4,-67.2,Line,6.5,75.9,4.7,46.0,0.113,1.09,11.2,1
50,8.8,154.3,1.39,11.2,19.7,-85.0,Wedge,4.1,190.6,2.97,47.5,0.445,0.99,5.5,1
33,6.3,65.2,1.71,4.0,28.1,-55.5,Line,1.6,179.6,4.66,40.7,0.319,0.99,20.9,1
5,6.2,99.5,0.63,28.2,91.0,-105.2,Wedge,2.9,183.5,4.18,33.3,0.202,1.32,4.1,1
31,9.9,293.9,4.68,22.5,54.7,-96.9,Wedge,6.7,64.9,1.36,19.4,0.056,0.97,34.8,0
38,7.8,32.0,1.53,0.0,78.3,-81.7,Wedge,1.3,239.6,1.1,22.3,0.376,1.04,34.0,1
24,5.0,431.2,2.65,23.0,15.8,-40.0,Grid,6.3,135.8,4.38,23.3,0.158,1.49,6.2,0
40,7.4,480.7,2.02,22.2,47.5,-68.4,Line,9.6,147.0,2.91,47.5,0.303,0.68,27.8,0
46,4.5,123.4,4.8,0.3,70.7,-33.1,Grid,8.2,299.1,0.59,38.2,0.285,1.23,27.9,1
16,3.1,225.0,1.74,11.1,22.0,-110.7,Wedge,4.1,91.9,4.7,15.3,0.35,0.97,15.9,0
44,6.4,11.1,3.91,18.2,39.3,-78.6,Random,2.2,124.3,2.63,31.6,0.269,1.33,6.1,1
30,9.4,320.4,4.29,13.6,15.8,-82.3,Circle,5.2,206.2,1.85,30.1,0.315,0.9,5.3,1
37,9.4,207.0,2.23,23.3,68.6,-66.0,Line,4.5,265.3,2.82,40.8,0.041,0.8,29.6,1
14,4.1,135.0,1.95,12.8,97.4,-46.9,Line,9.7,46.8,4.2,5.7,0.333,0.71,8.8,0
33,5.7,103.4,3.76,4.6,84.4,-44.3,Circle,9.9,223.2,1.0,35.4,0.097,1.37,24.1,1
8,2.9,327.0,4.57,29.3,97.7,-59.7,Grid,4.7,276.3,2.12,17.2,0.196,1.22,34.6,0
23,10.0,208.1,3.8,7.3,86.1,-62.3,Circle,2.3,132.6,1.93,7.4,0.256,0.58,23.7,1
29,9.8,89.8,1.21,21.5,87.0,-34.6,Random,9.2,93.2,4.28,36.9,0.343,1.21,39.0,0
3,6.8,344.6,4.45,4.3,61.9,-85.5,Wedge,8.1,206.5,4.0,17.3,0.371,0.54,25.8,0
43,8.2,282.5,2.0,9.9,56.6,-45.0,Circle,5.6,81.4,2.3,36.8,0.352,0.68,12.6,1
46,7.4,429.3,2.92,13.3,46.6,-37.1,Circle,4.3,121.4,3.49,9.0,0.048,1.09,34.1,0
7,6.3,58.7,4.17,5.8,83.6,-75.8,Wedge,5.0,270.1,2.28,49.3,0.193,0.96,12.4,1
29,1.5,392.8,1.02,13.5,26.4,-54.4,Line,9.1,181.2,3.07,40.4,0.14,1.34,38.9,0
29,5.1,336.8,3.94,4.7,15.1,-86.1,Random,2.7,37.5,4.96,15.2,0.199,1.11,19.1,1
45,7.1,57.5,3.02,16.8,95.3,-105.7,Circle,8.3,105.6,2.91,37.3,0.323,1.46,38.1,1
45,7.1,347.4,4.48,19.9,10.3,-67.2,Circle,1.2,191.9,4.95,7.7,0.096,1.36,7.3,1
21,4.4,220.8,0.94,1.9,97.9,-102.3,Line,9.3,149.6,3.86,33.0,0.251,0.84,0.5,1
31,9.5,472.5,2.16,26.1,75.6,-78.8,Random,5.5,201.5,1.04,3.9,0.442,1.33,7.8,0
12,2.5,70.8,4.18,5.6,39.6,-41.4,Wedge,3.0,230.8,4.08,17.3,0.366,1.37,3.9,1
29,5.5,321.4,0.19,6.8,72.8,-112.3,Wedge,1.0,149.4,1.23,48.9,0.363,1.47,29.4,1
26,7.2,191.0,0.65,19.8,83.6,-117.3,Grid,6.0,296.2,2.9,6.9,0.424,0.51,10.6,1
40,7.3,478.4,4.95,14.1,32.1,-65.4,Random,3.2,275.3,3.26,30.3,0.2,1.37,25.6,1
34,6.8,165.0,1.47,15.0,79.4,-90.2,Random,6.7,27.4,4.52,4.5,0.38,0.57,26.7,0
2,3.5,481.1,4.88,3.8,82.4,-82.4,Circle,3.5,87.3,1.45,33.8,0.029,1.03,27.5,0
28,2.4,450.7,0.99,24.2,32.4,-83.5,Grid,1.8,97.2,4.44,14.7,0.028,0.91,33.3,0
14,6.7,135.2,1.87,18.5,13.8,-112.2,Wedge,5.5,63.4,4.71,16.2,0.166,1.42,6.0,1
42,6.4,401.8,3.79,4.1,28.4,-119.7,Random,6.1,100.5,0.9,17.6,0.098,0.91,2.0,1
4,2.6,497.8,3.32,11.2,28.1,-39.1,Random,5.1,133.2,4.48,11.1,0.259,1.1,1.2,0
40,7.3,126.3,2.95,24.3,15.9,-100.4,Line,5.1,24.9,1.67,47.1,0.092,1.19,4.2,1
7,5.1,218.4,2.7,17.1,75.3,-81.7,Wedge,6.3,46.9,0.86,45.4,0.488,0.52,15.2,0
9,7.0,260.1,4.23,3.3,44.2,-32.5,Line,5.7,37.9,4.81,43.6,0.426,1.09,38.7,0
28,8.5,147.5,1.25,11.2,89.6,-45.6,Grid,2.2,23.4,2.26,6.2,0.491,1.02,14.1,0
10,2.5,7.6,2.27,7.3,32.7,-110.3,Random,2.8,149.6,3.3,12.4,0.404,1.09,18.1,1
38,1.2,110.1,0.86,15.5,50.8,-74.2,Grid,2.3,106.8,2.99,31.0,0.476,0.58,32.6,0
34,8.0,141.0,3.02,25.3,67.5,-54.3,Line,7.2,281.3,1.46,48.5,0.184,0.56,36.7,0
43,6.5,221.8,1.33,13.1,89.0,-57.1,Wedge,5.8,39.8,3.51,30.6,0.249,0.68,38.9,0
45,7.3,85.6,1.74,13.0,57.2,-51.5,Random,4.9,278.6,0.71,17.0,0.12,1.37,33.1,1
25,8.5,436.6,2.41,27.2,43.6,-78.8,Wedge,8.2,35.1,1.41,41.1,0.318,0.86,20.1,0
16,8.2,352.5,0.23,17.3,88.0,-104.2,Grid,3.9,189.6,4.75,7.6,0.394,0.93,9.2,1
33,9.6,42.6,0.55,17.0,37.9,-78.2,Circle,6.1,81.8,4.79,44.2,0.249,0.89,23.9,1
33,5.8,325.0,3.46,7.9,17.1,-61.7,Wedge,1.7,249.8,2.67,48.8,0.148,1.21,7.9,1
25,5.4,326.8,2.2,18.2,50.1,-65.2,Wedge,7.7,27.8,1.26,48.4,0.254,0.76,2.2,0
42,4.6,478.1,4.34,17.3,80.7,-113.7,Wedge,7.3,286.2,2.4,8.2,0.031,0.57,36.8,0
50,2.4,1.5,3.5,11.9,12.8,-114.2,Random,8.2,23.7,4.45,27.9,0.361,0.88,19.4,1
50,6.2,124.0,0.14,29.7,62.7,-33.1,Grid,9.0,79.9,0.82,29.7,0.226,1.23,20.3,0
13,3.5,463.9,3.12,26.5,63.5,-106.3,Grid,7.8,144.6,1.08,10.6,0.449,1.41,24.4,0
40,9.3,466.1,0.56,22.5,93.6,-93.5,Random,8.6,229.3,4.53,27.8,0.462,0.55,18.1,0
3,6.2,360.3,3.93,16.1,35.8,-50.9,Wedge,4.1,285.8,2.37,32.7,0.063,1.31,17.8,0
4,6.3,382.9,4.96,13.9,35.1,-83.1,Wedge,4.1,134.1,0.88,17.1,0.498,0.57,36.6,0
50,4.2,45.7,2.7,5.5,49.6,-103.7,Circle,9.5,229.6,1.13,16.5,0.485,0.83,32.7,0
38,1.5,256.9,3.45,9.2,42.1,-77.9,Wedge,9.2,220.9,4.47,4.0,0.314,0.52,8.5,0
50,1.3,115.8,1.26,23.2,76.3,-68.8,Line,5.9,175.6,2.71,47.9,0.413,1.41,11.7,1
18,4.8,90.6,2.24,13.6,67.8,-79.3,Wedge,4.3,210.4,1.23,40.4,0.009,1.21,26.4,1
50,1.8,405.2,4.29,26.5,78.3,-37.3,Circle,8.8,21.0,4.52,38.2,0.485,0.87,22.8,0
3,6.5,67.5,0.92,4.4,83.8,-94.4,Line,3.9,138.1,4.3,2.1,0.228,0.88,30.6,0
3,8.9,234.3,1.4,15.3,93.1,-60.5,Circle,2.4,237.9,0.6,31.6,0.455,1.14,29.1,0
29,8.9,469.3,2.28,19.4,48.8,-109.9,Circle,6.8,147.5,3.11,9.9,0.193,0.59,28.3,0
24,6.9,92.9,3.59,15.5,98.6,-84.7,Grid,1.4,263.3,1.6,33.4,0.394,0.65,35.2,1
38,2.9,489.0,1.94,26.7,29.4,-53.3,Random,4.4,251.8,2.9,31.4,0.209,1.35,30.7,0
33,8.8,497.1,4.65,29.7,74.3,-99.8,Circle,8.3,260.4,1.76,42.7,0.181,0.7,9.7,1
34,9.0,277.8,0.56,3.5,58.1,-66.9,Wedge,3.7,47.7,1.92,13.5,0.473,1.23,34.9,0
2,2.8,85.1,1.92,3.9,83.5,-106.2,Grid,9.4,80.8,3.21,2.3,0.35,0.73,13.4,0
20,7.6,158.1,3.57,3.9,52.9,-110.8,Line,9.6,18.6,2.92,45.8,0.42,0.59,36.4,0
3,3.6,212.2,1.21,20.4,80.6,-72.9,Random,8.3,295.0,2.28,45.5,0.272,1.4,33.0,0
45,8.2,154.7,3.32,11.2,93.7,-59.2,Grid,9.9,78.5,0.98,23.3,0.459,1.4,3.0,1
27,10.0,140.3,0.9,22.0,75.9,-109.8,Circle,5.8,116.5,4.86,4.8,0.37,1.11,30.9,1
